1000 1200
758 200 0
45 511 10
487 296 6
566 551 0
430 850 27
294 274 9
796 318 17
10 329 20
120 348 10
667 454 1
697 330 18
840 838 15
998 991 9
490 761 0
392 714 7
174 801 27
293 732 1
579 822 16
31 309 20
377 218 2
75 622 15
561 334 26
214 199 22
744 77 25
412 210 26
146 2 26
628 6 5
642 268 25
312 565 18
321 105 5
18 277 12
352 770 20
768 573 15
635 613 12
88 446 22
885 682 8
913 228 8
841 691 13
831 436 23
180 559 19
704 249 6
645 611 9
759 344 13
898 621 3
502 393 11
943 533 27
122 76 4
413 520 11
606 774 7
1 589 19
585 510 15
637 325 11
781 781 29
121 848 6
702 759 19
177 622 7
921 78 8
918 7 16
498 564 22
164 722 11
974 495 18
550 604 29
320 627 22
953 388 23
949 385 23
855 59 13
457 137 7
772 234 25
750 471 25
36 739 21
594 155 9
634 137 13
280 67 18
329 558 8
587 19 16
115 816 24
631 722 18
754 485 14
426 149 20
134 219 7
638 514 14
664 384 17
623 10 1
453 177 6
796 843 21
317 12 15
425 227 21
707 672 8
956 867 19
602 478 6
634 794 5
210 15 19
152 45 28
245 248 10
55 549 0
136 44 19
806 540 21
632 105 26
891 219 16
12 968 3
166 556 15
383 18 18
172 179 15
325 624 5
594 1 23
874 39 22
854 522 25
603 966 19
56 75 23
939 379 18
367 13 21
673 143 0
788 169 11
289 87 28
859 176 3
74 142 29
50 669 23
790 92 10
233 101 16
20 666 2
539 312 23
757 631 10
437 536 8
506 684 9
606 351 0
639 845 27
896 762 18
821 19 5
329 798 1
14 415 14
821 275 19
548 859 2
255 698 18
587 152 27
406 565 21
443 644 20
949 788 28
85 741 28
223 526 8
633 63 26
553 860 4
483 533 13
761 101 23
302 71 24
178 652 14
251 146 17
138 576 21
909 806 10
342 366 9
611 606 13
723 765 24
885 413 19
487 311 20
671 90 0
139 295 25
869 944 24
431 325 16
3 691 3
266 410 25
240 193 21
535 150 1
402 830 18
976 394 24
254 100 12
291 427 29
391 789 29
119 488 21
796 884 21
905 20 13
124 762 10
31 742 28
407 316 2
73 29 10
641 757 12
105 732 13
213 681 12
719 728 9
279 489 22
375 51 17
59 198 5
879 885 9
356 100 17
642 721 16
613 552 25
105 454 16
144 887 13
875 918 17
115 228 21
669 727 26
577 106 5
502 222 19
472 205 18
1 517 2
851 292 28
684 398 15
696 563 19
417 349 29
740 138 21
281 12 21
970 936 25
814 985 26
270 301 7
142 314 1
283 381 29
746 846 6
405 650 2
111 811 28
301 413 17
115 936 29
683 917 18
543 408 5
23 569 4
279 489 9
641 141 10
715 291 11
294 788 7
487 727 1
169 694 4
774 917 16
451 415 27
999 92 25
337 970 7
923 813 8
70 368 28
557 980 5
2 690 27
872 618 27
603 871 27
953 850 14
848 893 12
377 554 25
91 922 6
516 667 4
924 735 21
19 658 3
854 897 20
803 118 29
272 299 16
938 128 2
615 612 29
558 435 10
433 332 10
989 727 4
760 612 13
797 683 13
283 321 19
657 987 25
630 192 26
290 344 1
321 55 23
635 309 4
551 370 19
741 502 24
764 884 26
299 919 1
202 754 18
756 777 22
381 17 3
301 347 22
631 560 16
90 392 15
901 7 4
809 649 21
601 559 25
179 977 4
604 846 2
726 927 7
104 185 19
885 502 7
704 890 15
731 365 15
675 686 12
800 848 0
617 583 16
119 57 21
157 10 14
561 123 4
833 256 21
858 135 22
334 134 20
659 913 18
529 994 5
19 148 18
477 405 5
856 115 5
841 774 18
147 93 13
580 337 15
783 380 22
334 439 20
26 155 18
132 688 6
430 983 21
819 529 8
497 953 27
786 170 25
691 988 27
417 291 13
392 8 15
713 780 7
38 894 18
904 790 7
850 554 15
849 338 10
849 424 7
905 927 12
709 717 22
263 657 14
411 937 17
116 586 17
462 953 16
662 115 20
225 972 8
143 567 18
621 925 1
758 815 8
710 636 13
520 58 21
901 846 25
460 392 22
237 423 10
397 534 7
240 577 19
154 220 0
980 945 20
560 689 22
504 243 21
175 137 18
500 468 26
656 134 17
745 293 12
752 971 22
719 38 1
341 463 15
333 541 27
816 409 25
737 643 14
627 490 1
600 459 11
590 129 1
755 332 7
155 207 4
526 776 22
486 169 22
483 520 23
565 79 20
738 165 13
314 577 12
80 80 1
258 174 0
977 202 9
409 21 12
45 928 24
688 980 19
430 653 7
368 111 2
388 605 4
286 817 11
415 877 12
375 212 29
542 345 25
131 848 14
112 143 22
295 958 17
256 454 5
225 629 21
207 136 29
266 571 25
520 681 15
463 42 1
696 843 19
42 220 29
713 365 18
782 575 9
322 293 24
918 232 0
115 716 1
851 936 28
426 366 2
297 882 3
150 241 23
14 588 14
6 914 11
540 929 7
161 153 21
913 171 27
221 160 29
679 527 23
942 674 2
661 959 23
494 642 7
308 676 24
313 779 12
377 775 6
118 725 13
268 924 20
386 509 9
499 496 18
942 194 29
733 558 6
511 570 27
675 526 9
268 398 6
451 703 12
277 565 24
493 634 19
641 311 28
149 767 2
360 881 22
175 956 27
412 991 25
483 907 11
209 757 22
948 322 25
533 245 29
278 419 18
560 512 10
968 834 22
533 609 26
151 316 10
339 105 23
83 725 17
452 135 0
204 713 7
798 785 14
210 973 0
754 103 0
832 269 23
